tag,name,subsidiary_of,rating,result page variation,aliases,total,Rank - Total,preserve,data_sources,reason,country,recommended_in,Top 3 Ethical,website,description,total-USD,total-AUD,total-CAD,total-EUR,total-GBP,checkings/savings offered,reviewed_by,custom_text_status,Unique Statement,headline,dirty deal 1,dirty deal 2,Notes,zak's crazy filter,dirty deals link,Our Take,From the website,Checking & Savings Accounts,Checking & Savings Accounts custom,Mobile & Online Banking,Branches Available,Branches Available custom,Mobile & Online Banking custom,Free International Card Payments,Free ATM Withdrawals,Free Checking Account Available,Interest Rates,Credit Card,Deposit Protection,Mortgage or Loan Options,Free ATM Withdrawals custom,Free Checking Account Available custom,Free International Card Payments custom,Credit Card custom,Mortgage or Loan Options custom,top blurb,top blurb headline,permid,isin,viafid,lei
envest_microfinance,Envest Microfinance,,ok,bimpact,envest microfinance,,,,bimpact,"This rating was based on Envest Microfinance's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,envestmicrofinance.org,"Envest is a for-profit global microfinance fund that offers a unique impact investment opportunity for accredited investors. Since its founding in 2012, Envest has delivered strong financial returns to investors while expanding access to credit in communities underserved by banks. Envest lends to microfinance institutions in the developing world. They, in turn, provide microloans to individual borrowers seeking credit. They believe that using financially sound market mechanisms to create a more equitable economy is critical to reducing widespread global poverty.",$29,$40,$39,€26,£22.64,no,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
libro_credit_union,Libro Credit Union,,ok,bimpact,libro credit union,,,,bimpact,"This rating was based on Libro Credit Union's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Canada,,,www.libro.ca,"Libro is one of southwestern Ontario’s largest credit union. As a financial co-operative Libro supports the well-being of people, businesses and communities by providing high-quality financial coaching and profit sharing and a full range of financial products and services including savings and chequing, investments, and borrowing. In 2014 Libro Credit Union established a strong and clear statement of purpose – to grow prosperity in southwestern Ontario by transforming banking. They then began the work of ensuring everything they do contributes toward that aim.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data. ",,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
omista_credit_union,OMISTA Credit Union,,ok,bimpact,omista credit union,,,,bimpact,"This rating was based on OMISTA Credit Union's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Canada,,,www.omista.com,"OMISTA Credit Union exists to provide A Better Way To Bank – one that operates with the best interests of their customers and community in mind. OMISTA’s products and services are designed for New Brunswickers who want full-service, holistic banking and who care about making the place they live even better. Credit Unions are unique from other financial institutions in that they are not owned by shareholders; they are owned by customers. While each Credit Union is independent and locally controlled by its customers, all Credit Unions share a common bond – to improve the wealth of the people and communities they serve. The goal at OMISTA is to have a positive impact on our stakeholders through the business they do. They truly believe business can be a force for good! They are committed to enhancing their communities through economic, social and environmental objectives. They do this by keeping more money in the pockets of their customers; helping communities prosper; putting people before profits; and partnering for public policy solutions. This means their profits have a higher purpose – to benefit the people they serve, their customers.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data.",,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
city_first_bank,City First Bank,,great,,city first bank,,,,"bimpact,custom,gabv","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",United States,United States,checked,www.cityfirstbank.com,"As DC’s first community development financial institution bank (CDFI), City First’s mission begins and ends with the community. Their loans have made possible the creation of hundreds of new small businesses, thousands of jobs, thousands of affordable housing units, and dozens of new charter schools and other nonprofits that provide important services to their community. City First works creatively with socially responsible investors, public agencies, and financial intermediaries to provide a triple bottom line impact—helping depositors earn a superior return while their deposits go to work in neighborhoods in and around the Washington, DC region.    Projects of note include: Bread for the City, Capital Area Food Bank, Central Union Mission, Mary’s Center, N Street Village, THEARC, Atlas Theater, Tivoli Theater, Thurgood Marshall Academy, EL Haynes, DC Prep, Achievement Prep, Bright Beginnings, Ben’s Chili Bowl and small businesses in Union Kitchen, as well as critical permanent affordable housing buildings in gentrifying neighborhoods.",$29,$40,$39,€26,£22.64,yes,albert,,,,,,,,,"As a certified B Corporation, City First is a national bank committed to a triple bottom line impact focused on economic, social, and environmental justice. Instead of investing in fossil fuels, 33% of customer deposits are spent to help underserved neighborhoods and communities. ","City First offers all the banking tools you need — checking, savings and money market accounts plus improved rates for businesses and nonprofits focused on making a positive impact in the community and convenient online banking 24 hours a day. When you deal with City First, you deal with real live people who care about you and your needs.",checked,,checked,,1 branch in Washington D.C.,,,checked,checked,0.05-0.25% APY,,Over $250k (FDIC),,,,,,,,,,,,
bank_australia,Bank Australia,,great,,bank australia,,,,"bimpact,custom,gabv,marketforces","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.",Australia,Australia,checked,www.bankaust.com.au,"Bank Australia is the bank for people who believe in a fair and just world. We work with our customers to use their money as a force for good. Bank Australia is the first customer owned bank in Australia and has been operating since 1957. This means they answer to their customers, not external shareholders. Bank Australia provides everyday banking services and loans to individuals as well as loans to purpose-driven companies and organisations to help them have a positive impact on people and the planet. The bank’s lending is guided by its Responsible Banking Policy, which commits it to never lend to industries that do harm, like fossil fuels, live animal exports or arms/weapons. Instead, they seek to lend to those having a positive impact, such as individual customers, community renewable energy, and community and disability housing.  The Bank Australia Impact Fund donates 4% of after tax profits to projects supporting people and the planet, including their annual Community Customer Grants.  Bank Australia is committed to action on climate change, including their world-first Conservation Reserve, being carbon neutral since 2011 and running on 100% renewable electricity since 2019.  Bank Australia is a member of the Global Alliance for Banking on Values.",$29,$40,$39,€26,£22.64,yes,albert,,,,,,,,,"Bank Australia is shaping environmental change with its impeccable range of services and initiatives. As a certified B Corporation and proud member of the RE100 Climate Group, they are completely carbon neutral and do not invest any money into fossil fuels. They empower their customers to create positive change with a wide range of accounts, services, and investment opportunities.",Bank Australia is committed to customer ownership and to operating in accordance with the international principles for cooperative financial institutions. Our aspiration is to be Australia’s most trusted bank and leading purpose-driven business. Our purpose is to inspire and empower our customers to use their money to create a world where people and the planet thrive.,checked,,checked,checked,,,,checked,checked,Up to 0.70%,checked,"Up to $25,000 (FSC)",checked,,,,,,,,,,,
tomorrow_gmbh,Tomorrow,,great,,"tomorrow,tomorrow gmbh",,,,"bimpact,custom,gabv","This rating was manually determined. For great banks, the rating was assigned because the bank.green team was able to verify that the bank does not invest in fossil fuels. You can can contact hello@bank.green to ask how we determined other ratings.","Austria,Belgium,Cyprus,Estonia,Finland,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Portugal,Slovakia,Slovenia,Spain","Austria,Belgium,Cyprus,Estonia,Finland,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Portugal,Slovakia,Slovenia,Spain",checked,https://www.tomorrow.one,"Tomorrow is the first European player to link the two issues of “Mobile Banking” and “Sustainable finance”. Tomorrow offers a mobile current account since March 2019; in the future a comprehensive financial platform will result from this. They believe that money can be part of the solution. While you may make a conscious effort to buy organic vegetables and use green electricity, the money you have sitting in the bank might be financing a new coal-fired power station. Although it might sound over the top, that’s the harsh reality. It’s time to turn the tables! At Tomorrow, not a cent goes into armaments, coal power and co. They exclusively finance sustainable and social projects. The more they are, the greater the joint positive influence.",$29,$40,$39,€26,£22.64,yes,albert,,,,,,,,,"Tomorrow is a new digital bank where it takes just 8 minutes to set up an account. They only invest in sustainable projects, and for every €1 you spend, they protect 1m2 of rainforest. With their ""Tomorrow Zero"" account, for €15 a month you can offset your entire carbon footprint while supporting vital sustainability projects in the Global South. ","We create the future of banking – transparent, digital, sustainable. Just our efforts to buy green energy, recycle our waste and be climate neutral don’t make us a sustainable bank. We’re sustainable because we are working on a future in which money always has a positive effect.",checked,,checked,,,,checked,checked,checked,,,"Up to €100,000",,,,,,,"Your money is definitely not funding the fossil fuel industry. Your bank believes in transparency and you can be sure that your money is not enabling gas, oil, or coal extraction. We hope this makes you feel tremendous (boasting is encouraged), but don’t put your feet up just yet – scroll down to discover the next step!",Your bank is great. ,,,,
bankvic,BankVic,,great,bimpact,bankvic,,,,"bimpact,marketforces",This rating is based on the marketforces.org.au verification that BankVic does not invest in fossl fuels.,Australia,,,bankvic.com.au,"BankVic exists to strengthen the communities which we serve. Their aim is to build healthy communities that are financially, socially and environmentally sustainable. It's these beliefs that drive the work they do every day. That’s why they are about people before profits.",$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: no 2021 RAN info, not listed by BankTrack",,,,,,,,,,,,,,,,,,,,,,,,,,,308253681,
piscataqua_savings_bank,Piscataqua Savings Bank,,ok,bimpact,piscataqua savings bank,,,,bimpact,"This rating was based on Piscataqua Savings Bank's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,piscataqua.com,Piscataqua Savings Bank has proudly served the Portsmouth community as a mutual savings bank since 1877. They are an independent community bank dedicated to personally helping individuals and families achieve their financial goals while supporting the communities where they live and work.,$29,$40,$39,€26,£22.64,yes,,in progress,,,,,"Not sure what to do: not listed by Bank Track, not in RAN 2021 data",,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
partnership_capital_growth,Partnership Capital Growth,,ok,bimpact,partnership capital growth,,,,bimpact,"This rating was based on Partnership Capital Growth's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",United States,,,www.pcg-advisors.com,"Partnership Capital Growth Advisor facilitates capital relationships in the healthy, active, and sustainable living marketplace that create accelerated and sustainable growth to benefit both the entrepreneurs and the investors with whom they work. They works with companies they believe can improve lives and make the world a better place and that they're confident in as strong, long-term investment opportunities. PCGA is committed to advising and preparing entrepreneurial companies within the healthy, active and sustainable living marketplace for successful capital relationships, facilitating opportunities that provide immediate value for their clients while supporting their long-term strategic goals.   PCGA professionalsÕ expertise, track record and reputation within the healthy, active and sustainable living industry consistently help us to attract and develop the highest quality partnerships for our clients. They are supported by a full quiver of relationships with senior and mezzanine lenders, commercial banks, minority and majority equity investors, lawyers, accountants, consultants, recruiters, and industry experts.",$29,$40,$39,€26,£22.64,unclear,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
banque_raiffeisen_region_geneve_rhone,Banque Raiffeisen Région Genève Rhône,,ok,bimpact,banque raiffeisen rgion genve rhne,,,,bimpact,"This rating was based on Banque Raiffeisen Région Genève Rhône's certification as a b-impact corporation or non-profit. The bank.green team has not been able to verify that the bank does not invest in fossil fuels, but believes that the bank is generally making a positive impact on the world.",Switzerland,,,www.raiffeisen.ch/region-geneve-rhone/de/ueber-uns/raiffeisen-englisch.html,"The Raiffeisen Group is the leading Swiss retail bank. The third largest bank in the Swiss banking sector has 1.9 million cooperative members and 3.8 million clients. The Raiffeisen Group is represented at 896 locations throughout Switzerland. The 246 legally autonomous Raiffeisen cooperative banks are amalgamated into the Raiffeisen Switzerland Cooperative, which is the strategic leader of the entire Raiffeisen Group. Raiffeisen offers private individuals and companies a wide range of products and services through Group companies, joint ventures and enterprises in which it holds an equity investment. As of 30 June 2018, the Raiffeisen Group had CHF 211 billion in assets under management and CHF 185 billion in loans to clients. The market share is 17.6 % in the mortgage business. Total assets amount to CHF 229 billion.",$29,$40,$39,€26,£22.64,yes,,not required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Your bank is doing OK.,,,,
